image_id,accuracy,f1,jaccard,recall,precision
ISIC_0014478,0.9758758544921875,0.7324420375698087,0.5778371161548732,0.9981549815498155,0.5784549585672281
ISIC_0015200,0.867584228515625,0.9128714859437752,0.8397088974676297,0.9879389777468707,0.8484062406688564
ISIC_0012493,0.9699554443359375,0.7637105484219369,0.6177441273539118,0.6701769165964616,0.8875871687587169
ISIC_0009298,0.988006591796875,0.9084129573525985,0.832194705380017,0.8352260552817656,0.9956577266922094
ISIC_0015412,0.9260406494140625,0.8942787968678431,0.8087742139109165,0.858998533417138,0.9325812028022927
ISIC_0015967,0.78790283203125,0.6752184681527174,0.5096828812303785,1.0,0.5096828812303785
ISIC_0010169,0.962432861328125,0.97722310624283,0.9554606798487617,0.9633554647599591,0.9914958323946835
ISIC_0000397,0.980133056640625,0.9542837078651685,0.9125646363575314,0.929607333424545,0.9803058721685183
ISIC_0000050,0.962982177734375,0.9362819772022902,0.8801975308641975,0.9679065978821613,0.906658527900707
ISIC_0000341,0.982269287109375,0.9626846499678869,0.9280539904649867,0.9927805007285733,0.9343598055105349
ISIC_0014422,0.89215087890625,0.8815326338372833,0.7881612468155252,0.9997338807785888,0.7883266382876671
ISIC_0011298,0.995147705078125,0.9675112382509194,0.9370670888581041,0.9681046820691065,0.9669185215438023
ISIC_0000041,0.9961700439453125,0.9716800180525781,0.9449199034452491,0.9551907719609583,0.9887485648679678
ISIC_0014289,0.968719482421875,0.95882376571727,0.9209043907708928,1.0,0.9209043907708928
ISIC_0012739,0.99285888671875,0.7899461400359067,0.6528189910979229,1.0,0.6528189910979229
ISIC_0013796,0.9959564208984375,0.900562851782364,0.8191126279863481,1.0,0.8191126279863481
ISIC_0015363,0.8218536376953125,0.8488301329776904,0.7373630576114099,0.8637381749189702,0.8344279822819612
ISIC_0010351,0.9649658203125,0.8122035007361361,0.6837901115548822,0.9989939637826962,0.6842613009922822
ISIC_0000255,0.988800048828125,0.9725073039178965,0.9464858559346748,0.9962397360141202,0.9498792712372869
ISIC_0000545,0.918426513671875,0.9056510536161801,0.8275706360469617,0.9955765947539966,0.8306247976691485
ISIC_0000338,0.9902496337890625,0.9681535011213556,0.938272797527048,0.9961029637985848,0.9417296878029863
ISIC_0002246,0.9930572509765625,0.9509856727351073,0.9065516533169029,0.9568610448731845,0.9451820128479658
