image_id,accuracy,f1,jaccard,recall,precision
ISIC_0014478,0.97906494140625,0.759129213483146,0.611771363893605,0.9972324723247232,0.61281179138322
ISIC_0015200,0.685455322265625,0.7114582458497802,0.5521421743286695,0.5522861613351877,0.9995280421615669
ISIC_0012493,0.9565887451171875,0.5739104388198293,0.4024364629279563,0.4035383319292334,0.993260756868844
ISIC_0009298,0.9820404052734375,0.8608253517795909,0.7556570479551589,0.7799442896935933,0.9604221635883905
ISIC_0015412,0.875701904296875,0.7942097817299919,0.658663314477268,0.658663314477268,1.0
ISIC_0015967,0.95660400390625,0.8922155688622754,0.8054054054054054,0.8146584538722403,0.9860936583731256
ISIC_0010169,0.6239471435546875,0.7100690563862452,0.5504705968189114,0.5504705968189114,1.0
ISIC_0000397,0.9558563232421875,0.8904457151512856,0.8025255972696246,0.8042823915720345,0.9972856052252099
ISIC_0000050,0.9394378662109375,0.8799854857730338,0.7856911447084233,0.7901710562041814,0.9928356986899564
ISIC_0000341,0.979217529296875,0.9540237645152579,0.9120893306654618,0.9359517816929395,0.9728073798705769
ISIC_0014422,0.7461700439453125,0.537621258025961,0.3676347601307686,0.3676627128953771,0.9997932389124367
ISIC_0011298,0.9966583251953125,0.9779567186713638,0.956864289935001,0.9932529135146186,0.9631245043616178
ISIC_0000041,0.9936065673828125,0.954011634288223,0.9120671563483735,0.9640638864241349,0.9441668477080165
ISIC_0014289,0.9897308349609375,0.9859149034134908,0.9722210756593883,0.9868443103737221,0.9849872454313553
ISIC_0012739,0.991943359375,0.7692307692307693,0.625,1.0,0.625
ISIC_0013796,0.9947662353515625,0.8749544294567991,0.7777057679844459,1.0,0.7777057679844459
ISIC_0015363,0.43853759765625,0.11146527576547861,0.059022094926350244,0.06081846688977312,0.6664741553566272
ISIC_0010351,0.9667816162109375,0.819859329747621,0.6947132239517599,0.9967806841046277,0.6962754743499648
ISIC_0000255,0.98358154296875,0.9572574878843251,0.9180190476190476,0.9246412401197145,0.9922589146010047
ISIC_0000545,0.8954315185546875,0.8466581638361191,0.7340912618345491,0.7340912618345491,1.0
ISIC_0000338,0.9891357421875,0.9625420875420875,0.927789046653144,0.938160188698595,0.9882251269309712
ISIC_0002246,0.989593505859375,0.927198975234842,0.8642786069651741,0.9414697593756775,0.91335436382755
ISIC_0014600,0.9868621826171875,0.8723498888065234,0.7735997896397581,0.9966124661246613,0.7756393356182442
ISIC_0000506,0.989776611328125,0.9470188201802942,0.8993691799339141,0.8999098286744815,0.9993324432576769
ISIC_0000042,0.8300323486328125,0.6589092690694185,0.4913234085304594,0.4913234085304594,1.0
ISIC_0010357,0.944671630859375,0.6726254965691586,0.5067337777173174,0.5067337777173174,1.0
ISIC_0011173,0.99407958984375,0.9089629282027218,0.8331182795698925,0.8682205289108024,0.9537173806006893
ISIC_0000456,0.97784423828125,0.9574043651724947,0.918289251547552,0.957348195951892,0.9574605409845685
ISIC_0013984,0.9848480224609375,0.9521053393141369,0.9085887876277271,0.9993924665856622,0.9090909090909091
ISIC_0014395,0.9879913330078125,0.9599307570897612,0.9229488936753476,0.9326276216857934,0.9888807300954578
ISIC_0010565,0.911895751953125,0.7699418280341063,0.6259393625291526,0.6259393625291526,1.0
